Instance,Publication,Group,Date,Average_0Scale,Average_0Scale_Corrected
Bur1.SG,RaghavanScience2015,Buryat.SG,present,1950,NA
Bur2.SG,RaghavanScience2015,Buryat.SG,present,1950,NA
HGDP00877.SG,RasmussenNature2014,Mayan.SG,present,1950,NA
HUI03.SG,RaghavanScience2015,Huichol.SG,present,1950,NA
Kor1.SG,RaghavanScience2015,Koryak.SG,present,1950,NA
Kor2.SG,RaghavanScience2015,Koryak.SG,present,1950,NA
Manny.SG,RaghavanNature2014,Indian.SG,present,1950,NA
Mari.SG,RaghavanNature2014,Mari.SG,present,1950,NA
TA6.SG,RaghavanScience2015,Aymara.SG,present,1950,NA
Tadjik.SG,RaghavanNature2014,Tajik.SG,present,1950,NA
Tsimshian.SG,RaghavanScience2015,Tsimshian.SG,present,1950,NA
Y2040.SG,RaghavanScience2015,Yukpa.SG,present,1950,NA
XVII-B-939.SG,RaghavanScience2015,Canada_6000BP.SG,4310-3940 calBCE (5710±40 BP; Beta-317343),-4125,-4125
Chinchorroi15.SG,RaghavanScience2015,Chile_Chinchorro_LA.SG_lc,3972-3806 calBCE (5480±25 BP; UCIAMS-147105),-3889,-3889
Enoque65.SG,RaghavanScience2015,Brazil_Enoque_HG.SG,1685-1533 calBCE (3335±20 BP; UCIAMS-144538),-1609,-1609
Yaghan890.SG,RaghavanScience2015,Argentina_BeagleChannel_Yamana_100BP.SG,1800-1900 CE,1850,1850
Yaghan894.SG,RaghavanScience2015,Argentina_BeagleChannel_Yamana_100BP.SG,1800-1900 CE,1850,1850
Yaghan895.SG,RaghavanScience2015,Argentina_BeagleChannel_Yamana_100BP.SG,1800-1900 CE,1850,1850
AM71.SG,RaghavanScience2015,Chile_StraitOfMagellan_Kaweskar_100BP.SG,1800-1900 CE,1850,1850
BC23.SG,RaghavanScience2015,Mexico_Pericues.SG_lc,1200-1700 CE,1450,1450
BC25.SG,RaghavanScience2015,Mexico_Pericues.SG,1200-1700 CE,1450,1450
BC27.SG,RaghavanScience2015,Mexico_Pericues.SG_lc,1200-1700 CE,1450,1450
BC28.SG,RaghavanScience2015,Mexico_Pericues.SG_lc,1200-1700 CE,1450,1450
BC29.SG,RaghavanScience2015,Mexico_Pericues.SG,1200-1700 CE,1450,1450
BC30.SG,RaghavanScience2015,Mexico_Pericues.SG,1200-1700 CE,1450,1450
F9.SG,RaghavanScience2015,Mexico_PreColumbian.SG_lc,4000 BCE - 1500 CE,-1250,-1250
MA572.SG,RaghavanScience2015,Argentina_NorthTierradelFiego_Selknam_100BP_lc.SG,1800-1900 CE,1850,1850
MA575.SG,RaghavanScience2015,Argentina_NorthTierradelFiego_Selknam_100BP_lc.SG,1800-1900 CE,1850,1850
MA577.SG,RaghavanScience2015,Argentina_NorthTierradelFiego_Selknam_100BP.SG,1800-1900 CE,1850,1850
MOM6.SG,RaghavanScience2015,Mexico_PreColumbian_CH_MOM6.SG_lc,4000 BCE - 1500 CE,-1250,-1250
AM66.SG,RaghavanScience2015,Chile_StraitOfMagellan_Kaweskar_100BP.SG,1800-1900 CE,1850,1850
AM72.SG,RaghavanScience2015,Chile_StraitOfMagellan_Kaweskar_100BP_lc.SG,1800-1900 CE,1850,1850
AM73.SG,RaghavanScience2015,Chile_StraitOfMagellan_Kaweskar_100BP.SG,1800-1900 CE,1850,1850
AM74.SG,RaghavanScience2015,Chile_StraitOfMagellan_Kaweskar_100BP.SG,1800-1900 CE,1850,1850
MARC1492.SG,RaghavanScience2015,Canada_400BP.SG,1434-1692 calCE (740±20 BP; UCIAMS-107246),1563,1563
I0589.SG,SkoglundCell2017,Tanzania_Zanzibar_1300BP.SG,580-650 calCE (1479±23 BP; OxA-31427),615,615
I1048.SG,SkoglundCell2017,Tanzania_Pemba_1400BP_lc.SG,540-645 calCE (1520±30 BP; Beta-434912),592,592
I2966.SG,SkoglundCell2017,Malawi_Hora_9000BP.SG,7174-6836 calBCE (8075±35 BP; PSUAMS-5145; unpublished date wait until others publish it),-7005,-7005
I2967.SG,SkoglundCell2017,Malawi_Hora_8100BP.SG,6223-6007 calBCE (7230±60 BP; PSUAMS-2535),-6115,-6115
Bar31.SG,HofmanovaPNAS2016,Anatolia_N.SG,6419-6238 calBCE (7457±44 BP; UBA-29838),-6329,-6328
Bar8.SG,HofmanovaPNAS2016,Anatolia_N.SG,6212-6030 calBCE (7238±38 BP; UBA-29837),-6121,-6121
Klei10.SG,HofmanovaPNAS2016,Greece_LN.SG,4230-3995 calBCE (5559±22 BP; MAMS-23038),-4113,-4112
Pal7.SG,HofmanovaPNAS2016,Greece_LN.SG,4452-4350 calBCE (5559±29 BP; MAMS-23037),-4401,-4401
Rev5.SG,HofmanovaPNAS2016,Greece_N.SG,6438-6264 calBCE (7505±25 BP; MAMS-23036),-6351,-6351
M240.SG,JeongPNAS2016,Nepal_Mebrak_2125BP.SG,450 BCE - 100 CE,-175,-175
M344.SG,JeongPNAS2016,Nepal_Mebrak_2125BP.SG,450 BCE - 100 CE,-175,-175
S40.SG,JeongPNAS2016,Nepal_Samdzong_1500BP.SG,200-700 CE,450,450
C1.SG,JeongPNAS2016,Nepal_Chokhopani_2700BP.SG,1200-450 BCE,-825,-825
M63.SG,JeongPNAS2016,Nepal_Mebrak_2125BP.SG,450 BCE - 100 CE,-175,-175
S10.SG,JeongPNAS2016,Nepal_Samdzong_1500BP.SG,200-700 CE,450,450
S35.SG,JeongPNAS2016,Nepal_Samzdong_1500BP.SG,200-700 CE,450,450
S41.SG,JeongPNAS2016,Nepal_Samzdong_1500BP.SG,200-700 CE,450,450
AH1.SG,BroushakiScience2016,Iran_TepeAbdulHosein_N.SG,8200-7700 BCE [layer date based on 8205-7756 calBCE (8833±41 BP; MAMS-25472) and 8204-7755 calBCE (8832±41 BP; MAMS-25473)],-7950,-7950
AH2.SG,BroushakiScience2016,Iran_TepeAbdulHosein_N.SG,8205-7756 calBCE (8833±41 BP; MAMS-25472),-7981,-7980
AH4.SG,BroushakiScience2016,Iran_TepeAbdulHosein_N.SG,8204-7755 calBCE (8832±41 BP; MAMS-25473),-7980,-7980
F38.SG,BroushakiScience2016,Iran_IA_Hasanlu.SG,971-832 calBCE (2753±21 BP; MAMS-22352),-902,-902
WC1.SG,BroushakiScience2016,Iran_Wezmeh_N.SG,7455-7082 calBCE (8240±56 BP; UBA-25840),-7269,-7268
I0156.SG,SchiffelsNatureCommunications2016,England_LIA_ERoman.SG,160 calBCE - 26 calCE (2039±27 BP; OxA-29573),-67,-67
I0157.SG,SchiffelsNatureCommunications2016,England_Saxon.SG,666-770 calCE (1288±25 BP; OxA-29574),718,718
I0159.SG,SchiffelsNatureCommunications2016,England_Saxon.SG,631-776 calCE (1320±45 BP; OxA-X-2565-12),703,704
I0160.SG,SchiffelsNatureCommunications2016,England_LIA.SG,170 calBCE - 80 calCE (2029±49 BP; Wk - 12599),-45,-45
I0161.SG,SchiffelsNatureCommunications2016,England_Saxon.SG,690-881 calCE (1230±25 BP; OxA-29572),785,786
