Instance,Publication,Group,Date,Average_0Scale,Average_0Scale_Corrected
I0056,LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015),Germany_EN_LBK,5213-5009 calBCE (6156±35 BP; MAMS-21480),-5111,-5111
I0100,LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015),Germany_EN_LBK,5202-4852 calBCE (6080±32 BP; KIA-40341),-5027,-5027
I1072,LazaridisNature2016,Israel_Natufian,11840-9760 BCE,-10800,-10800
I0595,SkoglundCell2017,Kenya_400BP,1450-1630 calCE (388±27 BP; OxA-30803),1540,1540
I0461,OlaldeNature2018,Iberia_BellBeaker,2455-2201 calBCE (3837±25 BP; MAMS-14857),-2328,-2328
I2230,PosthNakatsukaCell2018,Argentina_ArroyoSeco2_7700BP,7010-6430 calBCE (7805±85 BP; AA-106014; manually calibrated by Thomas Harper),-6720,-6720
I2232,PosthNakatsukaCell2018,Argentina_ArroyoSeco2_7700BP,6570-6250 calBCE (7612±53 BP; AA-106013; manually calibrated by Thomas Harper),-6410,-6410
I2261,PosthNakatsukaCell2018,Peru_LaGalgada_4100BP,2280-2030 calBCE (3780±21 BP; MAMS-27354; manually calibrated by Thomas Harper),-2155,-2155
I2537,PosthNakatsukaCell2018,Chile_PicaOcho_700BP,1230-1380 calCE (760±20 BP; PSUAMS-1870; manually calibrated by Thomas Harper),1305,1305
I2551,PosthNakatsukaCell2018,Peru_Laramate_900BP,1040-1210 calCE (950±20 BP; PSUAMS-1603; manually calibrated by Thomas Harper),1125,1125
I2445,OlaldeNature2018,England_BellBeaker,2397-1930 calBCE [2137-1930 calBCE (3650±35 BP; Poz-83407); 2397-2043 calBCE (3785±40 BP; OxA-8806)],-2164,-2164
I2452,OlaldeNature2018,England_BellBeaker,2277-1920 calBCE [2277-2030 calBCE (3735±35 BP; Poz-83405); 2195-1920 calBCE (3700±30 BP; Beta-444979)],-2099,-2098
I2453,OlaldeNature2018,England_BellBeaker,2289-2041 calBCE (3760±35 BP; Poz-83404),-2165,-2165
I2454,OlaldeNature2018,England_BellBeaker,2200-1980 calBCE (3703±28 BP; OxA-24595),-2090,-2090
I2455,OlaldeNature2018,England_BellBeaker,2130-1910 calBCE (3631±28 BP; OxA-24594),-2020,-2020
I2373_all,LipsonNature2017,Hungary_EN_Koros_all,6000-5500 BCE,-5750,-5750
I1877_all,LipsonNature2017,Hungary_EN_Starcevo_all,5704-5556 calBCE (6704±34 BP; MAMS-11933),-5630,-5630
I3345,HarneyNatureCommunications2019,India_RoopkundB,1681-1939 calCE (130±15 BP; PSUAMS-5461),1810,1810
I3405,HarneyNatureCommunications2019,India_RoopkundB,1656-1950 calCE (200±15 BP; PSUAMS-4504),1803,1803
I3406,HarneyNatureCommunications2019,India_RoopkundA,885-980 calCE (1125±20 BP; PSUAMS-5436),932,932
I3451,NarasimhanPattersonScience2019,Kazakhstan_IA_Tasbas,929-807 calBCE (2720±35 BP; OS-97172),-868,-868
I3769,NarasimhanPattersonScience2019,Kazakhstan_LBA_Molaly,1400-1000 BCE,-1200,-1200
I3788,NarasimhanPattersonScience2019,Kazakhstan_MLBA_OyDzhaylau,1683-1532 calBCE (3330±20 BP; PSUAMS-2499),-1608,-1608
I3860,NarasimhanPattersonScience2019,Kazakhstan_MLBA_OyDzhaylau_o,1734-1617 calBCE (3365±20 BP; PSUAMS-2492),-1676,-1676
I3861,NarasimhanPattersonScience2019,Kazakhstan_MLBA_OyDzhaylau,1872-1684 calBCE (3435±20 BP; PSUAMS-3115),-1778,-1778
I3864,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Solyanka,1728-1546 calBCE (3345±20 BP; PSUAMS-3183),-1637,-1637
I3352,HarneyNatureCommunications2019,India_RoopkundA,689-876 calCE (1235±20 BP; PSUAMS-5465),782,782
I3342,HarneyNatureCommunications2019,India_RoopkundA,773-940 calCE (1175±20 BP; PSUAMS-5432),856,856
I3350,HarneyNatureCommunications2019,India_RoopkundB,1675-1943 calCE (140±15 BP; PSUAMS-5471),1809,1809
I3767,NarasimhanPattersonScience2019,Kazakhstan_MLBA1_AkMoustafa,1869-1665 calBCE (3430±20 BP; PSUAMS-2496),-1767,-1767
I3499,MathiesonNature2018,Croatia_LateC_EBA_Vucedol,2884-2666 calBCE (4176±28 BP; BRAMS-1304),-2775,-2775
I3403,HarneyNatureCommunications2019,India_RoopkundB,1691-1925 calCE (105±15 BP; PSUAMS-5435),1808,1808
I3404,HarneyNatureCommunications2019,India_RoopkundB,1706-1915 calCE (35±20 BP; PSUAMS-5439),1810,1810
I2014,LipsonNature2017,Germany_EN_LBK,5199-4857 calBCE (6081±30 BP; KIA-40344),-5028,-5028
I2020,LipsonNature2017,Germany_EN_LBK_1d.or.2d.rel.I1550,5500-4850 BCE,-5175,-5175
I2022,LipsonNature2017,Germany_EN_LBK,5500-4850 BCE,-5175,-5175
I2980,OlaldeNature2018,Scotland_N,3360-3101 calBCE (4530±33 BP; SUERC-69073),-3231,-3230
I2981,OlaldeNature2018,Scotland_C_EBA,2009-1497 calBCE [1741-1497 calBCE (3320±50 BP; AA-51418); 2009-1696 calBCE (3520±40 BP; AA-43651)],-1753,-1753
I2988,OlaldeNature2018,Scotland_N,3516-3361 calBCE (4645±29 BP; SUERC-68711),-3439,-3438
I3136,OlaldeNature2018,Scotland_N,3521-3366 calBCE (4665±30 BP; PSUAMS-2069),-3444,-3444
I3137_published,OlaldeNature2018,Scotland_N_published,3800-3200 BCE,-3500,-3500
I3138,OlaldeNature2018,Scotland_N,3264-2924 calBCE (4415±25 BP; PSUAMS-2156),-3094,-3094
I3141_published,MathiesonNature2018,Ukraine_EBA_Yamnaya_published,3300-2500 BCE,-2900,-2900
I3151_published,MathiesonNature2018,Ukraine_Eneolithic_Trypillia_published,4000-3600 BCE,-3800,-3800
I3255,OlaldeNature2018,England_BellBeaker,2136-1951 calBCE (3661±31 BP; SUERC-49482),-2044,-2044
I3270,LipsonNature2017,Iberia_C,3350-2750 BCE [3022-2779 calBCE (4290±40 BP; Beta-137895); 3090-2900 calBCE (4360±40 BP; Beta-137896); 3310-2904 calBCE (4390±40 BP; Beta-148054) three dates of the whole stratigraphy of the site],-3050,-3050
I3271,LipsonNature2017,Iberia_C,3350-2750 BCE [3022-2779 calBCE (4290±40 BP; Beta-137895); 3090-2900 calBCE (4360±40 BP; Beta-137896); 3310-2904 calBCE (4390±40 BP; Beta-148054) three dates of the whole stratigraphy of the site],-3050,-3050
I3272,LipsonNature2017,Iberia_C,3263-2903 calBCE (4380±40 BP; Beta-288933),-3083,-3083
I3313,MathiesonNature2018,Croatia_EIA,805-761 calBCE (2570±20 BP; PSUAMS-1831),-783,-783
I3322,OlaldeScience2019,Iberia_Iberian,600-500 BCE,-550,-550
I3324,OlaldeScience2019,Iberia_Iberian,360-193 calBCE (2190±20 BP; PSUAMS-2159),-277,-276
I3343,HarneyNatureCommunications2019,India_RoopkundA,773-890 calCE (1185±20 BP; PSUAMS-5433),831,832
I3344,HarneyNatureCommunications2019,India_RoopkundA,775-890 calCE (1180±15 BP; PSUAMS-5460),832,832
I3346,HarneyNatureCommunications2019,India_RoopkundA,717-889 calCE (1210±25 BP; PSUAMS-5462),803,803
I3388,NarasimhanPattersonScience2019,Russia_Afanasievo,2700-2600 BCE [mate of I3950 at 2878-2636 calBCE (4160±25 BP; PSUAMS-1955); mother of I3951 at 2879-2639 calBCE (4165±25 BP; PSUAMS-1956); mother of I6714 at 2617-2472 calBCE (4020±25 BP; PSUAMS-3909)],-2650,-2650
I3390,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1900-1400 BCE,-1650,-1650
I3395,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1900-1400 BCE,-1650,-1650
I3401,HarneyNatureCommunications2019,India_RoopkundB,1700-1950 CE (based on other samples from the same genetic cluster),1825,1825
I3407,HarneyNatureCommunications2019,India_RoopkundA,775-961 calCE (1160±20 BP; PSUAMS-5437),868,868
I3432,OlaldeScience2019,Iberia_C,3082-2909 calBCE (4365±25 BP; PSUAMS-1882),-2996,-2996
I3433,MathiesonNature2018,Croatia_N_Cardial,5976-5751 calBCE (6970±35 BP; PSUAMS-2259),-5864,-5864
I3485,OlaldeScience2019,Iberia_BA,2271-1984 calBCE (Rome-1687),-2128,-2128
I3486,OlaldeScience2019,Iberia_BA,2100-1200 BCE,-1650,-1650
I3487,OlaldeScience2019,Iberia_BA,1734-1617 calBCE (3365±20 BP; PSUAMS-2161),-1676,-1676
I3488,OlaldeScience2019,Iberia_BA,2100-1200 BCE,-1650,-1650
I3490,OlaldeScience2019,Iberia_BA_Cogotas,2100-1200 BCE,-1650,-1650
I3491,OlaldeScience2019,Iberia_BA_Cogotas,2100-1200 BCE,-1650,-1650
I3493,OlaldeScience2019,Iberia_BA_Cogotas,1420-1283 calBCE (3090±25 BP; PSUAMS-2072),-1352,-1352
I3498,MathiesonNature2018,Croatia_MN_Sopot,5837-5659 calBCE (6850±40; Poz-90129),-5748,-5748
I3528,OlaldeNature2018,Hungary_EBA_BellBeaker,2559-2301 calBCE (3931±31 BP; DeA-11507),-2430,-2430
I3529,OlaldeNature2018,Hungary_EBA_BellBeaker,2500-2200 BCE,-2350,-2350
I3574,OlaldeScience2019,Iberia_Visigoth_Granada,500-600 CE,550,550
I3575,OlaldeScience2019,Iberia_Visigoth_Granada,500-600 CE,550,550
I3577,OlaldeScience2019,Iberia_Visigoth_Granada,500-600 CE,550,550
I3578,OlaldeScience2019,Iberia_Visigoth_Granada,500-600 CE,550,550
I3579,OlaldeScience2019,Iberia_Visigoth_Granada,500-600 CE,550,550
I3581,OlaldeScience2019,Iberia_Visigoth_Granada,500-600 CE,550,550
I3599_published,OlaldeNature2018,Germany_BellBeaker_brother.I3588_published,2300-2150 BCE,-2225,-2225
I3600,OlaldeNature2018,Germany_BellBeaker,2300-2150 BCE,-2225,-2225
I3601,OlaldeNature2018,Germany_BellBeaker,2300-2150 BCE,-2225,-2225
I3602_published,OlaldeNature2018,Germany_BellBeaker_published,2300-2150 BCE,-2225,-2225
I3604_published,OlaldeNature2018,Germany_BellBeaker_published,2500-2000 BCE,-2250,-2250
I3607_published,OlaldeNature2018,Germany_BellBeaker_published_lc,2500-2000 BCE,-2250,-2250
I3775,OlaldeScience2019,Iberia_Visigoth_Barcelona,500-700 CE,600,600
I3776,OlaldeScience2019,Iberia_Visigoth_Barcelona,500-700 CE,600,600
I3777,OlaldeScience2019,Iberia_Visigoth_Barcelona,500-700 CE,600,600
I3778,OlaldeScience2019,Iberia_Visigoth_Barcelona,500-700 CE,600,600
I3808,OlaldeScience2019,Iberia_NazariPeriod_Muslim,1200-1500 CE,1350,1350
I3810,OlaldeScience2019,Iberia_NazariPeriod_Muslim_African,1200-1500 CE,1350,1350
I3866,OlaldeScience2019,Iberia_Visigoth_Barcelona,500-700 CE,600,600
I3874,OlaldeNature2018,France_BellBeaker,2201-2036 calBCE (3725±25 BP; PSUAMS-1835),-2119,-2118
I3875,OlaldeNature2018,France_BellBeaker,2134-1947 calBCE (3655±25 BP; PSUAMS-1834),-2041,-2040
I3879,MathiesonNature2018,Bulgaria_MalakPreslavets_N,5984-5771 calBCE (6990±40 BP; PSUAMS-2221),-5878,-5878
I3951,NarasimhanPattersonScience2019,Russia_Afanasievo_sister.I3950,2879-2639 calBCE (4165±25 BP; PSUAMS-1956),-2759,-2759
I3772,NarasimhanPattersonScience2019,Kazakhstan_LBA_Zevakinskiy,1025-901 calBCE (2810±25 BP; PSUAMS-2080),-963,-963
I3269,LipsonNature2017,Iberia_C,3350-2750 BCE [3022-2779 calBCE (4290±40 BP; Beta-137895); 3090-2900 calBCE (4360±40 BP; Beta-137896); 3310-2904 calBCE (4390±40 BP; Beta-148054) three dates of the whole stratigraphy of the site],-3050,-3050
I2977,OlaldeNature2018,Scotland_N,3008-2763 calBCE (4275±33 BP; SUERC-69072),-2886,-2886
I2978,OlaldeNature2018,Scotland_N,3335-3023 calBCE (4464±29 BP; SUERC-68725),-3179,-3179
I3133,OlaldeNature2018,Scotland_N,3632-3378 calBCE (4725±20 BP; PSUAMS-2154),-3505,-3505
I3256,OlaldeNature2018,England_BellBeaker,2204-2029 calBCE (3722±31 BP),-2117,-2116
I2979,OlaldeNature2018,Scotland_N,3333-2941 calBCE (4447±29 BP; SUERC-68726),-3137,-3137
I3134,OlaldeNature2018,Scotland_N,3634-3378 calBCE (4730±25 BP; PSUAMS-2155),-3506,-3506
I3135,OlaldeNature2018,Scotland_N,3641-3384 calBCE (4770±30 BP; PSUAMS-2068),-3513,-3512
I3132,OlaldeNature2018,Scotland_C_EBA,2119-1888 calBCE (3614±33; SUERC-69070),-2004,-2004
I3389,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1900-1400 BCE,-1650,-1650
I3392,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1900-1400 BCE,-1650,-1650
I3394,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1900-1400 BCE,-1650,-1650
I3396,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1900-1400 BCE,-1650,-1650
I3576,OlaldeScience2019,Iberia_Visigoth_Granada,408-538 calCE (1595±25 BP; PSUAMS-2117),473,473
I3949,NarasimhanPattersonScience2019,Russia_Afanasievo_son.I3388_son.I3950_brother.I6714,2837-2498 calBCE (4075±20 BP; PSUAMS-2292),-2668,-2668
I3947,MathiesonNature2018,Croatia_N_Cardial,5986-5786 calBCE (7000±40 BP; PSUAMS-2223),-5886,-5886
I3948,MathiesonNature2018,Croatia_N_Cardial,6005-5814 calBCE (7030±40 BP; PSUAMS-2224),-5910,-5910
I3950,NarasimhanPattersonScience2019,Russia_Afanasievo,2878-2636 calBCE (4160±25 BP; PSUAMS-1955),-2757,-2757
I3770,NarasimhanPattersonScience2019,Kazakhstan_BA_Zevakinskiy,2132-1940 calBCE (3645±25 BP; PSUAMS-2079),-2036,-2036
I3391,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1900-1400 BCE,-1650,-1650
I3393,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk_father.or.son.I6718,1900-1400 BCE,-1650,-1650
I3494,OlaldeScience2019,Iberia_BA,1920-1753 calBCE (CNA-1661.1.1),-1837,-1836
I3351,HarneyNatureCommunications2019,India_RoopkundA,770-887 calCE (1200±20 BP; PSUAMS-5464),828,828
I3402,HarneyNatureCommunications2019,India_RoopkundA,770-887 calCE (1200±20 BP; PSUAMS-5466),828,828
I3068,OlaldeNature2018,England_N,3692-3522 calBCE (4820±34 BP; UBA-29003),-3607,-3607
I2365,OlaldeNature2018,Hungary_EBA_BellBeaker,2465-2205 calBCE [2465-2205 calBCE (3858±32 BP; DeA-6762); 2465-2213 calBCE (3871±29  BP; DeA-7220)],-2335,-2335
I2403,MathiesonNature2018,Poland_Globular_Amphora,2870-2575 calBCE (4120±30 BP; Beta-430712),-2723,-2722
I3323,OlaldeScience2019,Iberia_Iberian,365-204 calBCE (2215±20 BP; PSUAMS-2158),-285,-284
I3348,HarneyNatureCommunications2019,India_RoopkundB,1682-1932 calCE (115±20 BP; PSUAMS-5434),1807,1807
I3349,HarneyNatureCommunications2019,India_RoopkundA,770-945 calCE (1180±25 BP; PSUAMS-5463),857,858
I3535,LipsonNature2017,Hungary_MN_ALPc_III,5221-5000 calBCE (6170±40 BP; Poz-83632),-5111,-5110
I3536,LipsonNature2017,Hungary_MN_LBK,5300-4900 BCE,-5100,-5100
I3537,LipsonNature2017,Hungary_MN_ALPc_Szatmar,5481-5361 calBCE (6449±30 BP; BRAMS-1302),-5421,-5421
I3582,OlaldeScience2019,Iberia_Visigoth_Granada,500-600 CE,550,550
I3583_published,OlaldeScience2019,Iberia_Visigoth_Granada_o_published,500-600 CE,550,550
I3585,OlaldeScience2019,Iberia_Visigoth_Granada,677-866 calCE (1250±25 BP; PSUAMS-2074),771,772
I3587_published,OlaldeNature2018,Germany_BellBeaker_1.or.2d.rel.of_I3588_and_I3599_published_lc,2300-2150 BCE,-2225,-2225
I3588,OlaldeNature2018,Germany_BellBeaker,2300-2150 BCE,-2225,-2225
I3589,OlaldeNature2018,Germany_BellBeaker,2300-2150 BCE,-2225,-2225
I3590,OlaldeNature2018,Germany_BellBeaker,2339-2143 calBCE (3802±26 BP; BRAMS-1217),-2241,-2241
I3594,OlaldeNature2018,Germany_BellBeaker,2300-2150 BCE,-2225,-2225
I3714,MathiesonNature2018,Ukraine_N,5500-4800 BCE,-5150,-5150
I3715,MathiesonNature2018,Ukraine_N,5636-5521 calBCE (6655±35 BP; PSUAMS-1907),-5579,-5578
I3717,MathiesonNature2018,Ukraine_N,5460-5218 calBCE (6330±35 BP; PSUAMS-1908),-5339,-5339
I3753,NarasimhanPattersonScience2019,Kazakhstan_LBA_Zevakinskiy,1111-941 calBCE (2860±20 BP; PSUAMS-2540),-1026,-1026
I3756,OlaldeScience2019,Iberia_BA,2014-1781 calBCE (3565±25 BP; PSUAMS-2077),-1898,-1898
I3759,OlaldeScience2019,Iberia_Celtiberian,361-195 calBCE (2195±25 BP; PSUAMS-2078),-278,-278
I3763,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Zevakinskiy,1609-1443 calBCE (3240±25 BP; PSUAMS-2502),-1526,-1526
I3954,NarasimhanPattersonScience2019,Russia_Afanasievo,2872-2625 calBCE (4140±25 BP; PSUAMS-2293),-2749,-2748
I3976,NarasimhanPattersonScience2019,Kazakhstan_LBA_Zevakinskiy,1191-1010 calBCE (2900±20 BP; PSUAMS-2506),-1101,-1100
I3977,NarasimhanPattersonScience2019,Kazakhstan_LBA_Zevakinskiy,1126-1000 calBCE (2885±20 BP; PSUAMS-2507),-1063,-1063
I3980,OlaldeScience2019,Iberia_Roman,432-601 calCE (1520±20 BP; PSUAMS-2110),516,516
I3983,OlaldeScience2019,Iberia_Roman,265-427 calCE (1660±25 BP; PSUAMS-2081),346,346
I4054,OlaldeScience2019,Iberia_Roman_brother.I3983,400-600 CE,500,500
I4067_published,OlaldeNature2018,Netherlands_BellBeaker_published,1945-1692 calBCE (3500±50 BP; GrA-15602),-1819,-1818
I4068,OlaldeNature2018,Netherlands_BellBeaker,2132-1952 calBCE (3655±20 BP; PSUAMS-2318),-2042,-2042
I4069,OlaldeNature2018,Netherlands_BellBeaker,2188-1887 calBCE (3640±50 BP; GrA-6477),-2038,-2038
I4070,OlaldeNature2018,Netherlands_BA,1881-1646 calBCE (3440±40 BP; GrA-17225),-1764,-1764
I4071,OlaldeNature2018,Netherlands_BA,1883-1665 calBCE (3450±40 BP; GrA-17226),-1774,-1774
I4073,OlaldeNature2018,Netherlands_BellBeaker,2196-1903 calBCE (3660±50 BP; GrA-15598),-2050,-2050
I4075,OlaldeNature2018,Netherlands_BellBeaker,2119-1938 calBCE (3635±20 BP; PSUAMS-2337),-2029,-2028
I4076,OlaldeNature2018,Netherlands_BellBeaker,1883-1751 calBCE (3490±20 BP; PSUAMS-2319),-1817,-1817
I4085,NarasimhanPattersonScience2019,Turkmenistan_C_TepeAnau,4000-3000 BCE,-3500,-3500
I4086,NarasimhanPattersonScience2019,Turkmenistan_C_TepeAnau,4000-3000 BCE,-3500,-3500
I4087,NarasimhanPattersonScience2019,Turkmenistan_C_TepeAnau,4000-3000 BCE,-3500,-3500
I4088,MathiesonNature2018,Romania_C,4331-4076 calBCE (5380±25 BP; PSUAMS-1832),-4204,-4204
I4089,MathiesonNature2018,Romania_C,3761-3645 calBCE (4915±25 BP; PSUAMS-1746),-3703,-3703
I4110,MathiesonNature2018,Ukraine_Eneolithic_SredniStog,3634-3377 calBCE (4725±25 BP; UCIAMS-186349),-3506,-3506
I4111,MathiesonNature2018,Ukraine_N,4722-4548 calBCE (5795±35 BP; PSUAMS-1910),-4635,-4635
I4112_published,MathiesonNature2018,Ukraine_N_published,5500-4800 BCE,-5150,-5150
I4114,MathiesonNature2018,Ukraine_N,5473-5329 calBCE (6420±35 BP; PSUAMS-1911),-5401,-5401
I4153,NarasimhanPattersonScience2019,Uzbekistan_BA_Kashkarchi,1200-1000 BCE,-1100,-1100
I4156,NarasimhanPattersonScience2019,Uzbekistan_BA_Bustan,1600-1300 BCE,-1450,-1450
I4159,NarasimhanPattersonScience2019,Uzbekistan_BA_Bustan,1600-1300 BCE,-1450,-1450
I4161,NarasimhanPattersonScience2019,Uzbekistan_BA_Dzharkutan1,2100-1800 BCE,-1950,-1950
I4167,MathiesonNature2018,Croatia_EN_Starcevo,4790-4558 calBCE (5830±40 BP; Poz-90127),-4674,-4674
I4168,MathiesonNature2018,Croatia_MN_Sopot,4763-4536 calBCE (5790±40 BP; Poz-90128),-4650,-4650
I4175,MathiesonNature2018,Croatia_LateC_EBA_Vucedol,3000-2700 BCE,-2850,-2850
I4178,OlaldeNature2018,Hungary_EBA_BellBeaker,2500-2200 BCE,-2350,-2350
I4181,LipsonNature2017,Hungary_MN_LBK_lc,5300-4900 BCE,-5100,-5100
I4183,LipsonNature2017,Hungary_LN_Sopot_lc,4904-4709 calBCE (5920±40 BP; Beta-310039),-4807,-4806
I4184,LipsonNature2017,Hungary_LN_Sopot,4930-4715 calBCE (5930±40 BP; Beta-310040),-4823,-4822
I4185,LipsonNature2017,Hungary_LN_Sopot,5016-4838 calBCE (6032±32 BP; MAMS-14814),-4927,-4927
I4186,LipsonNature2017,Hungary_MN_ALPc_Esztar,5300-4900 BCE,-5100,-5100
I4187,LipsonNature2017,Hungary_MN_ALPc_Esztar,5300-4900 BCE,-5100,-5100
I4188,LipsonNature2017,Hungary_MN_ALPc_I,5300-4900 BCE,-5100,-5100
I4189,LipsonNature2017,Hungary_C_Balaton_Lasinja,4300-3900 BCE,-4100,-4100
I4196,LipsonNature2017,Hungary_MN_LBK,5300-4900 BCE,-5100,-5100
I4199,LipsonNature2017,Hungary_MN_ALPc_Tiszadob,5300-4900 BCE,-5100,-5100
I4247,OlaldeNature2018,Iberia_BellBeaker,2465-2211 calBCE (3870±30 BP; PSUAMS-2120),-2338,-2338
I4248_published,OlaldeNature2018,Germany_BellBeaker_1d.rel.I5658_published_lc,2500-2000 BCE,-2250,-2250
I4249_published,OlaldeNature2018,Germany_BellBeaker_published,2336-2141 calBCE (3802±26 BP; BRAMS1217),-2239,-2238
I4250_published,OlaldeNature2018,Germany_BellBeaker_published,2434-2150 calBCE (3825±26 BP; BRAMS1219),-2292,-2292
I4251_published,OlaldeNature2018,Poland_BellBeaker_published,2432-2151 calBCE (3825±25 BP; PSUAMS-2321) [supersedes 2837-2672 calBCE (3990±60 BP; Ki-7926) where there is reason to think there is miscalibration],-2292,-2292
I4252_published,OlaldeNature2018,Poland_BellBeaker_published,2286-2139 calBCE (3780±20 BP; PSUAMS-2338),-2213,-2212
I4253,OlaldeNature2018,Poland_BellBeaker,2457-2208 calBCE (3850±20 BP; PSUAMS-2339),-2333,-2332
I4255,NarasimhanPattersonScience2019,Uzbekistan_BA_Kashkarchi,1200-1000 BCE,-1100,-1100
I4257,NarasimhanPattersonScience2019,Tajikistan_BA_DashtiKozy,1518-1434 calBCE (3215±20 BP; PSUAMS-2510),-1476,-1476
I4258,NarasimhanPattersonScience2019,Tajikistan_BA_DashtiKozy,1620-1506 calBCE (3285±25 BP; PSUAMS-2121),-1563,-1563
I4259,NarasimhanPattersonScience2019,Turkmenistan_C_Parkhai,3307-2928 calBCE (4425±20 BP; PSUAMS-2799),-3118,-3118
I4262,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Karagash,1881-1695 calBCE (3465±25 BP; PSUAMS-2122),-1788,-1788
I4263,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Karagash,1861-1639 calBCE (3415±25 BP; PSUAMS-2123),-1750,-1750
I4264,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Aktogai,1691-1528 calBCE (3335±30 BP; PSUAMS-2124),-1610,-1610
I4265,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Aktogai,1640-1527 calBCE (3310±20 BP; PSUAMS-2511),-1584,-1584
I4267,NarasimhanPattersonScience2019,Kazakhstan_LBA_Zevakinskiy,1193-1013 calBCE (2905±20 BP; PSUAMS-2512),-1103,-1103
I4285,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,1873-1661 calBCE (3430±25 BP; PSUAMS-2536),-1767,-1767
I4286,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,1886-1756 calBCE (3500±20 BP; PSUAMS-2165),-1821,-1821
I4288,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,2000-1600 BCE,-1800,-1800
I4289,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,1931-1767 calBCE (3525±25 BP; PSUAMS-2125),-1849,-1849
I0577,UnterlanderNatureCommunications2017,Russia_Tuva_IA_AldyBel,700 BCE,-700,NA
I1594,LipsonNature2017,Germany_MN_Blatterhohle,3337-3024 calBCE (4465±30; KIA-28846),-3181,-3180
I1752,PosthNakatsukaCell2018,Chile_Conchali_700BP,1300-1410 calCE (650±24 BP; UGAMS-3241; manually calibrated by Thomas Harper),1355,1355
I1753,PosthNakatsukaCell2018,Chile_LosRieles_5100BP,3360-2930 calBCE [combination of (4720±40 BP; Beta-254447) and (4680±25 BP; UGAMS-4600); manually calibrated by Thomas Harper],-3145,-3145
I1754,PosthNakatsukaCell2018,Chile_Conchali_700BP,1040-1210 calCE (950±30 BP; Poz-83481; manually calibrated by Thomas Harper),1125,1125
I1763,MathiesonNature2018,Ukraine_Mesolithic,8280-7967 calBCE (8960±50 BP; Poz-81127),-8124,-8124
I1767,OlaldeNature2018,England_BellBeaker,2200-1970 calBCE (3705±35 BP; OxA-8651),-2085,-2085
I1770,OlaldeNature2018,England_BellBeaker,2400-1600 BCE,-2000,-2000
I1775,OlaldeNature2018,Wales_C_EBA,1693-1600 calBCE (3344±27 BP; OxA-14308),-1647,-1646
I1784,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2201-2031 calBCE (3720±30 BP; Poz-83485),-2116,-2116
I1819,MathiesonNature2018,Ukraine_Mesolithic,8825-8561 calBCE (9420±50 BP; Poz-81128),-8693,-8693
I1821,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1612-1506 calBCE (3275±20 BP; PSUAMS-2435),-1559,-1559
I1828,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1611-1503 calBCE (3270±20 BP; PSUAMS-2960),-1557,-1557
I1829,NarasimhanPattersonScience2019,Russia_Afanasievo,3316-2915 calBCE [2915-2878 calBCE (4270±25 BP; PSUAMS-2109); 3316-2915 calBCE (4409±34 BP; UBA-29307)],-3116,-3116
I1836,OlaldeScience2019,Iberia_BA,1682-1505 calBCE (3310±35 BP; Poz-83482),-1594,-1594
I1838,LipsonNature2017,Iberia_C,3354-2943 calBCE (4470±50 BP; Poz-83429),-3149,-3148
I1840,OlaldeScience2019,Iberia_BA,1660-1454 calBCE (3260±30 BP; Beta-299302),-1557,-1557
